id,userNick,reviewWordContent,memory,color
1229507211577,v**8,手机非常精致，运行迅速，非常棒的一款手机，也没有看到网上说的那些缝，很喜欢！,一加1212GB+256GB,留白
1228433179931,猫**鸟,发货速度很快，物流很给力，前天下单第二天就收到了。担心的缝隙和溢胶的情况拿到手检查后也没发现，留白的背板十分好看。从苹果转到一加感觉系统功能丰富多了，虽然都说color os在一众系统里算垫底的，但是其他的也没用过啊，就目前来看系统稳定性和功能性都能满足日常需求。买一加12主要就是看中一个是京东方这块2k的屏，显示的确很不错很细腻，还有就是5400的电池容量，续航杠杠的。,一加1216GB+512GB,留白
1227720710881,乔**2,手机性价比高   音质好   拍照很清晰    这个价钱超值       值得推荐购买 ,一加1216GB+512GB,岩黑
1229875835083,心**通,一加12妥妥的2024年1月安兔兔跑分第一名，性能释放完美，系统流畅，超级好用，拍照清晰，续航很强，充电很快。非常满意！,一加1224GB+1TB,留白
1229396165955,平**9,商家回复及时，在实体店看过来下单的，物流超快，下午下单第二天一早就到了，到手白色果然超喜欢，手机充电超快的，续航也还可以，运行顺畅，外观没有网上说的裂缝很大，挺好的，用上一加自己的木质壳，喜欢喜欢,一加1216GB+512GB,留白
1228986192027,t**2,之前两个手机都是一加的，使用起来很舒服，这次的一加12刚刚入手，感觉很好，具体的使用细节还需要慢慢体验,一加1216GB+512GB,岩黑
1229619074654,张**3,通信音质：信号很好，音质不错。 显示效果：国产顶级屏幕，真心清晰，120高刷流畅 ,一加1224GB+1TB,留白
1229351846062,金**6,为了拍照买的 真的没有失望 是一台小型的微单了简直 一直用苹果 换了安卓也没有什么不适应的感觉，目前来说确实使用上没有什么问题  而且1TB！！真的性价比很高，电池也很耐用，一般一天充1次 有时候需要充2次完全够用,一加1216GB+1TB,苍绿
1229831198828,曾**7,续航能力不错，早上充满的电到晚上8点多回家还有百分之40.50的电。拍照我很喜欢，运行速度也很快！,一加1216GB+512GB,苍绿
1230061091605,肖**2,店家发货速度快，手机造型好看，拍照清晰，运行速度快，非常值得入手,一加1216GB+512GB,留白
1228984484138,颠**p,总体来说很满意 充电超级快 信号也很好 而且有些功能很好用 就是他为什么是曲面屏幕呀,一加1216GB+512GB,苍绿
1229510882663,l**3,对比了X7的参数和价格 觉得还是1加更有性价比 就是买晚了少了电池质保等等的赠送服务感觉有些亏,一加1224GB+1TB,留白
1227132000989,爱**天,手机收到后，没发现有缝隙，白色很好看，就是我喜欢黑色，24G版本只有白色，希望一加13能有黑色的，推荐大家购买。,一加1224GB+1TB,留白
1229464927719,t**9,超耐用的续航 一加12应该是一加数字系列里面，续航最让人满意的，记得之前一加9Pro出门拍照，半天续航就崩裂，一加12完全不会有这种焦虑，5400毫安大电池，现在出门拍摄不带充电宝也不会有焦虑。  ❷三倍潜望长焦 日常中，我更喜欢用长焦拍照，这样画面构图都会更简洁，拍出来的景也好看。不夸张的说，长焦好不好用是我觉得选手机的必要条件。一加12的3倍长焦画质十分优秀，6倍的裁切画质也不差，以前出门没带相机，拍不到远景的遗憾，这次被弥补上了。 ❸一块好屏幕 一加发布会花了很多心思介绍这块屏幕，我在发布会都听困了，实际使用感受下来，这块屏幕用着真的很舒服，即使在晚上关灯的时候用，也不会有那种刺眼的感觉，还有OPPO今年一直在推的XDR显示，看照片真的很还原，另外支持雨水触控，这些良好的体验真的希望所有手机都普及一下。 总结一下，一加12是一台综合体验接近满分的手机，没有明显的短板，无论是拍照，续航，屏幕还是外观，一加十周年这份答卷，交的很不错,一加1224GB+1TB,留白
1229458113325,方**z,一加老用户了，十周年旗舰再从苹果转转回来，操作丝滑！果然还得是一加！！,一加1212GB+256GB,岩黑
1229728142843,秋**人,发货很快，半夜下单第二天就到了。1T的内存再也不用担心内存问题了,一加1216GB+1TB,岩黑
1227638365287,p**x,手机整体不错，电池很耐用。就是拍照没有想象中的好。照片放大了很模糊。还有就是淘宝预定竟然没有4年电池保，亏大了！以后还是官网买吧！,一加1216GB+512GB,苍绿
1229381922354,t**6,用到目前挺满意的，挺喜欢，感觉以后就用它的升级版了,一加1216GB+512GB,留白
1228372097369,忧**情,这款手机真的是太棒了，我非常喜欢。首先，它的外观设计非常精美，手感也非常舒适。其次，它的屏幕显示效果非常清晰，色彩鲜艳，看视频和玩游戏都非常爽。此外，它的性能也非常强大，运行速度非常快，多任务处理毫无压力。总之，这是一款非常优秀的手机，我非常推荐购买。,一加1216GB+1TB,苍绿
1229280538281,要**兵,到现在已经快一周多了，除去品控方面的问题，这台手机用下来真的很不错，屏幕显示上真的很惊艳，以及让我感受最大就是续航和充电，因为我是从7pro换过来的，续航真的太顶了，哪怕是双卡5g的情况下也能做到6~7小时亮屏起步，完全没有续航焦虑了，100w充电和之前30w充电的体验完全不一样，快了太多了。,一加1216GB+512GB,留白
